time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles
1.0,8,0.0,0.0,0.0,8
2.0,8,6.856683418516769,0.0,6.889330684500616,0
3.0,8,13.351194327652923,0.0,12.720969498752796,0
4.0,8,21.20763059471268,0.0,17.276532250658846,0
5.0,9,22.14344240223523,0.0,21.210835993059888,1
6.0,9,15.30806448066533,0.0,27.39705082729575,0
7.0,10,10.757029887548642,0.0,34.22120118024332,1
8.0,10,12.69268970974962,4.0,41.62641626188153,4
9.0,11,12.431719789401773,10.0,48.81138404819035,7
10.0,11,14.36567751691492,16.0,56.53957941215395,6
11.0,11,16.032376951592283,22.0,63.86886494759295,6
12.0,12,12.731394307854595,28.0,71.70544021066581,7
13.0,19,5.837970812002083,34.0,81.44818646769666,13
14.0,19,9.16956496493628,1.0,96.89807406933599,1
15.0,19,11.734390275347437,3.0,111.35080174004074,2
16.0,19,15.997615261892953,6.0,124.09659804414414,3
17.0,21,18.153857348806955,10.0,135.2471916728362,6
18.0,21,21.61038733984417,15.0,146.91727501547513,5
19.0,21,24.618065406161374,21.0,157.30232924196426,6
20.0,15,20.137960256946197,28.0,86.07861584278906,7
21.0,16,18.943138348341677,35.0,94.86580943377741,8
22.0,11,1.197048540549969,42.0,85.13646919211779,8
23.0,11,2.156727132166286,50.0,95.66282685201854,8
24.0,11,3.640680593412538,58.0,105.85917487693541,8
25.0,18,2.159259569024602,67.0,116.0729260638415,16
26.0,18,3.687685897061591,76.0,132.6774189830701,9
27.0,19,7.839798779082262,9.0,147.54766277363055,4
28.0,19,14.118523064845407,0.0,161.01112326204316,0
29.0,20,17.896278876464137,0.0,172.66040933215322,1
30.0,20,18.4692421241356,0.0,185.2476182746348,0
31.0,20,20.237724168208857,1.0,197.22511991139174,1
32.0,21,23.93419086279801,4.0,207.2785095789713,4
33.0,20,23.874412103393787,10.0,178.26793847064593,7
34.0,20,27.011732002579187,16.0,187.6928526155408,6
35.0,20,28.373193980294477,22.0,196.62121648584952,6
36.0,20,29.370652068301652,28.0,205.15139903012044,6
37.0,27,18.9222712555186,34.0,195.54219676540373,14
38.0,27,17.474018097690273,40.0,213.5538534001069,6
39.0,26,14.37221087845838,47.0,213.80950343283118,7
40.0,25,14.263980835274637,3.0,217.17750063704477,2
41.0,24,12.914794425032738,6.0,204.65572628498458,4
42.0,24,16.366066103775527,12.0,220.75005023733837,6
43.0,25,18.249371935117367,20.0,235.55329626016078,9
44.0,25,19.959703409822385,29.0,250.46159359733568,9
45.0,24,18.321052592505772,39.0,258.04789725556327,11
46.0,18,10.394648366487775,50.0,227.32774938239197,11
47.0,14,2.539727714986104,61.0,178.71366634714107,11
48.0,15,1.772588038650208,72.0,192.20404331780492,12
49.0,22,1.2745657898738603,84.0,206.6725244901882,19
50.0,22,3.384202167145932,96.0,227.15295032823553,12
51.0,22,5.576868172948811,109.0,246.5987179988328,13
52.0,22,7.40969631207727,123.0,265.14400812984894,14
53.0,24,7.941539146205574,42.0,283.13619007448926,8
54.0,24,8.738527181348452,1.0,302.9521717578047,1
55.0,24,12.053798101681465,2.0,321.2632091193063,2
56.0,24,16.822535704286548,7.0,337.3471797932633,5
57.0,25,19.84190376241283,13.0,351.6496368992961,7
58.0,26,23.776335795623016,19.0,364.57113286093903,7
59.0,25,27.177783784974743,25.0,350.69906171028475,6
60.0,22,29.432107445916788,31.0,276.62361188767943,6
61.0,28,23.729379969609184,37.0,253.13050098184704,13
62.0,27,25.83732118394916,43.0,242.72671626543985,6
63.0,27,24.77023976506105,49.0,232.97984098387317,7
64.0,27,23.607872857721432,55.0,247.72192251789045,6
65.0,27,17.939962516887313,62.0,242.9851865923074,8
66.0,26,14.327571140083077,25.0,245.1199211042315,3
67.0,24,12.957558765392786,4.0,223.43494928580847,2
68.0,25,15.538544419424053,11.0,239.53705274113543,8
69.0,26,17.43404688061712,18.0,255.29442852755378,8
70.0,23,15.753139885613576,28.0,260.17754660581403,10
71.0,22,16.427847431353285,39.0,270.79756849156905,11
72.0,17,9.323349061649687,50.0,209.6712491401357,11
73.0,23,2.8337528009753497,62.0,198.66860295257695,20
74.0,22,3.0732657234950618,74.0,201.19353877704455,12
75.0,22,5.575609018269289,87.0,220.72305335329116,13
76.0,22,7.946623930922477,101.0,239.21570109717217,14
77.0,23,7.021028505916273,115.0,257.9751233848965,15
78.0,23,3.0399738297020975,129.0,279.5749859263137,14
79.0,24,2.8999390818719024,52.0,301.19824629325996,9
80.0,24,7.182447932498032,6.0,321.75945820265844,5
81.0,25,11.506028569671315,12.0,340.01631589247484,7
82.0,25,16.554470555155547,18.0,356.7445693847208,6
83.0,25,21.556821003549786,24.0,370.97119156703917,6
84.0,26,25.738650222015455,30.0,382.62049681026093,7
85.0,32,23.276226188519324,36.0,364.479589094366,13
86.0,29,24.79986412396946,42.0,289.3978842151253,6
87.0,26,25.317024849195555,48.0,231.782241787362,6
88.0,26,27.62426152748857,54.0,243.26362447773155,6
89.0,28,24.825137370099306,60.0,255.20410968589502,8
90.0,27,18.05422539445823,67.0,252.06731904833222,7
91.0,27,12.748945217081149,75.0,272.0424991834632,8
92.0,26,11.082558524034985,32.0,272.46396711343573,5
93.0,24,9.556594560081404,10.0,239.59012338586308,7
94.0,25,11.360413154973017,16.0,257.9181573379949,7
95.0,25,14.822797301506956,23.0,275.50922369421386,7
96.0,25,18.64767097598025,31.0,291.194705034238,8
97.0,31,16.09601494118813,39.0,298.3142849888327,15
98.0,24,10.555045843717684,49.0,218.0937063992439,10
99.0,21,5.628053980842967,59.0,177.3103530532909,11
100.0,21,8.087882461606794,72.0,194.76408708416466,13
101.0,22,9.562710710060525,85.0,211.39583972846958,14
102.0,22,10.24318583203842,98.0,228.75700420095598,13
103.0,22,10.867835916213188,111.0,245.85848393712197,13
104.0,23,10.802847798740379,125.0,262.74955641107795,15
105.0,22,8.502509025271097,41.0,273.6637051914926,7
106.0,19,8.45694517885956,2.0,281.4964531344771,2
107.0,19,15.025683865469983,2.0,294.79850843582994,1
108.0,19,20.96130173496261,3.0,305.85418772483615,1
109.0,27,19.010793720970543,4.0,314.61232627117283,9
110.0,27,23.885980355891363,5.0,328.7326209385345,1
111.0,25,24.568506450214148,6.0,283.54854872322846,1
112.0,23,21.935238555713184,7.0,243.69146623728847,1
113.0,22,16.38618924949879,9.0,213.61886079055637,3
114.0,21,9.176742826717058,14.0,208.97462038048639,5
115.0,22,6.182573481919783,19.0,227.2947100357043,6
116.0,22,6.044876415425121,29.0,246.62594222139978,10
117.0,23,7.508333607621974,28.0,265.1530284692391,13
118.0,21,7.465261520986632,14.0,276.30592364710907,7
119.0,21,11.562453441818393,14.0,292.4606435859959,4
120.0,22,15.196418763665195,9.0,306.8884706724265,4
121.0,29,15.744964881061183,12.0,319.9611387464965,10
122.0,29,18.8979677465818,16.0,338.18699243475066,4
123.0,29,19.1828095508505,20.0,356.22229133498286,4
124.0,27,15.917667587217334,26.0,343.68247406829266,6
125.0,28,12.616449433729079,34.0,352.4566786270046,10
126.0,26,8.441142528139444,43.0,351.7736750389403,9
127.0,26,8.824763511509888,55.0,373.33782692257296,12
128.0,26,9.4277193432682,71.0,394.59320543099085,16
129.0,25,4.585176559704995,89.0,409.7181871388467,19
130.0,24,0.5841141131483732,108.0,425.97755780209604,20
131.0,24,2.1682063685528354,90.0,448.93013734381276,18
132.0,24,4.9721632743996365,80.0,470.5124856880498,12
133.0,31,7.054148128204254,37.0,490.0910129672246,13
134.0,31,12.573382453465145,11.0,513.2692143697634,3
135.0,32,18.410538080780793,0.0,532.5100553008018,1
136.0,32,23.889044613227128,0.0,549.3198033349157,0
137.0,31,27.1558200627759,0.0,527.3919237590223,0
138.0,30,25.921625663775814,0.0,488.94713077891174,1
139.0,26,22.62979599072173,1.0,385.8047015651512,1
140.0,26,20.161853217961117,6.0,362.6353710023169,6
141.0,23,11.511072312911125,13.0,290.45284942529213,8
142.0,21,6.064949026079927,23.0,274.3226037434187,10
143.0,20,3.2568424951181694,35.0,266.2310934278605,12
144.0,20,3.096805153880433,49.0,285.11592500547744,14
145.0,28,2.9796442990323913,33.0,303.488356743032,17
146.0,28,6.74586235610994,15.0,327.7213197950315,6
147.0,28,11.746980306277257,13.0,349.15890275589334,4
148.0,28,17.642307777100875,18.0,367.33316074965353,5
149.0,29,20.516643221151153,23.0,383.44988384350626,6
150.0,29,22.205104709412062,28.0,399.5421953480256,5
151.0,29,19.82481351809486,33.0,403.7010293098217,6
152.0,26,14.315390609213992,41.0,383.29731114027396,8
153.0,27,11.69575103301845,51.0,403.10702227454163,11
154.0,23,4.317648979021381,64.0,410.48704184942346,13
155.0,23,2.7581215194461364,78.0,432.2352768708341,14
156.0,24,1.107962666578738,95.0,454.68962866460345,18
157.0,31,0.4880167264682827,113.0,478.3829644966678,25
158.0,31,3.5399499599948467,84.0,507.2310906125794,17
159.0,31,7.616471489779678,39.0,533.634140131369,9
160.0,31,12.746611617616946,11.0,556.963968647686,4
161.0,32,17.97167415979263,2.0,576.786122049678,2
162.0,32,22.07376901181767,0.0,595.090686146948,0
163.0,32,26.038897063796778,0.0,610.9176666211496,0
164.0,30,25.356253323606293,2.0,554.4680020271251,3
165.0,27,24.13339149230828,7.0,484.27226287830916,5
166.0,24,18.747449554744442,12.0,387.1464438613567,6
167.0,23,13.870859515502882,18.0,338.0563950313699,7
168.0,21,8.711835279303205,27.0,297.189363306206,9
169.0,26,3.440857776990259,38.0,288.11407434273696,17
170.0,27,3.8516225079523934,51.0,312.00572477500396,14
171.0,28,6.806771862031317,29.0,335.2828374669607,9
172.0,28,10.490643216263491,9.0,357.5978463830141,5
173.0,29,13.99250470973932,7.0,377.7191067259484,3
174.0,29,16.940037140615924,10.0,397.08430392088417,3
175.0,29,20.786679703439884,14.0,414.17537533180274,4
176.0,30,22.072891007236855,19.0,429.9642103144911,6
177.0,29,19.277442780838452,24.0,417.97911864124114,6
178.0,24,10.350268359554208,32.0,408.62681349226386,8
179.0,24,8.748798736989183,43.0,428.18692948479855,11
180.0,24,6.172288390843765,56.0,448.9619157447817,13
181.0,31,1.2847920642796944,72.0,453.0090931834153,24
182.0,31,2.2937525332908866,90.0,482.47948481619386,18
183.0,31,3.6433481353267334,112.0,511.197938582289,22
184.0,31,6.098398627732267,79.0,538.4519022327481,16
185.0,32,8.62166767530084,39.0,564.063511155354,10
186.0,32,12.001844931111505,16.0,588.5891416631769,4
187.0,33,15.48940574719432,8.0,610.609933569733,3
188.0,33,20.386592587167435,11.0,630.4276066351223,3
189.0,33,24.551487443180726,16.0,647.5838078190786,5
190.0,30,24.366954359242815,21.0,625.1124908950976,6
191.0,26,20.883067712577752,26.0,468.85087022424847,5
192.0,25,15.3604757411723,32.0,410.09245889386125,7
193.0,31,10.004164978887028,41.0,396.7755776682783,16
194.0,29,8.587504933848123,52.0,357.0142522257858,11
195.0,27,7.092878573486633,66.0,324.10032863696836,14
196.0,27,7.762373848509239,79.0,346.90239700343113,14
197.0,29,8.091163540231006,45.0,369.1812760222889,11
198.0,29,10.300454527810011,14.0,392.16492738827174,5
199.0,29,14.089180073090345,11.0,412.94857249809013,4
200.0,29,18.40603666084559,15.0,431.2252678399311,5
201.0,30,21.752503251119244,21.0,447.20384145551105,7
202.0,27,19.050032628091504,27.0,449.9350422655358,7
203.0,26,17.3282409370744,34.0,450.8638952154058,7
204.0,24,11.465736989735623,42.0,435.1915909603994,8
205.0,31,6.664691083482055,53.0,455.1958102787548,18
206.0,30,5.072101175574906,68.0,461.888780519097,15
207.0,31,4.789214408565961,83.0,488.836436559457,16
208.0,31,5.517081645778492,98.0,516.2526690781677,15
209.0,32,4.7526890163606,118.0,544.0155445204509,21
210.0,32,5.372585076978207,89.0,572.3879610137831,18
211.0,32,7.1862230678211985,46.0,599.7463828453582,11
212.0,33,11.067965485096522,21.0,624.4762456694219,7
213.0,33,16.05624906228985,11.0,646.9531610233608,6
214.0,32,20.062370782157373,15.0,662.9020440887406,5
215.0,31,23.61603266985568,20.0,676.1604535263273,5
216.0,29,22.925901838172706,25.0,589.9353288305407,6
217.0,34,16.62360265690742,30.0,542.5695745827697,12
218.0,32,16.26229514067828,37.0,483.41747649464315,7
219.0,31,14.524510858715312,47.0,436.08102591150464,11
220.0,29,12.717166128512256,58.0,387.14593295219964,11
221.0,27,9.697117086617629,70.0,356.0748269949635,12
222.0,27,4.751367930641808,84.0,352.8234639591172,15
223.0,28,3.974713368125894,48.0,377.64561111610976,12
224.0,28,7.779182631941734,15.0,401.32888108985577,6
225.0,29,11.486157730732108,15.0,422.73137060926115,8
226.0,29,15.968582433118483,20.0,442.56773455186215,6
227.0,28,19.6183165355215,26.0,454.3410226920381,6
228.0,29,21.608136649230833,32.0,469.7013465342968,7
229.0,33,13.645699447097293,39.0,454.6321400211329,14
230.0,30,9.672129196062793,47.0,434.43324443162817,8
231.0,30,9.6931690855171,58.0,458.45608093735,11
232.0,30,9.472692762055972,71.0,482.5488090038781,13
233.0,31,6.1573271001121395,86.0,486.5873994106197,17
234.0,31,4.348019083624967,105.0,514.9767546031096,19
235.0,31,3.7516226549134215,125.0,543.754742986913,20
236.0,31,6.005113882608538,94.0,571.1827181677179,18
237.0,30,7.920377196224195,55.0,593.3736885425827,13
238.0,30,10.607858121590253,27.0,612.7759199563699,8
239.0,30,16.216341207329034,16.0,633.244154355174,4
240.0,30,22.314247976340983,16.0,650.1139857547289,3
241.0,36,22.267773370816986,19.0,664.3540046442706,9
