time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles,reward,action_J1,action_J2,action_J3
5.0,9,22.14344240223523,0.0,21.210835993059888,1,-3.8,1,0,0
10.0,11,14.36567751691492,16.0,56.53957941215395,6,-14.52,1,0,0
15.0,19,15.84585093697134,30.0,105.27397185985404,4,-12.4,1,0,0
20.0,18,16.235699799423823,36.0,136.095514240401,6,-16.32,0,1,0
25.0,20,4.3872350064563275,32.0,138.3726754746161,13,-30.64,0,0,1
30.0,19,14.838473859639427,15.0,154.06384048288453,4,-12.100000000000001,0,0,0
35.0,16,22.458825756608892,24.0,181.9969267365346,5,-13.68,1,0,0
40.0,22,22.943211375920185,16.0,205.1075700647073,2,-8.72,1,1,0
45.0,20,22.215217611300385,9.0,174.26890703648928,6,-16.18,1,0,0
50.0,21,5.6123656257023855,22.0,165.35090528769427,5,-14.64,0,1,0
55.0,21,14.374165704711832,50.0,219.37633942220174,9,-23.2,0,0,1
60.0,16,8.063183415028488,48.0,254.9440990099623,7,-18.16,0,0,0
65.0,24,21.897172751371862,30.0,310.04352221407663,4,-13.4,1,0,0
70.0,24,19.57056354909069,20.0,317.40304570951383,7,-19.200000000000003,1,1,0
75.0,26,21.61214198103484,34.0,243.91324847851197,5,-15.879999999999999,1,0,0
80.0,23,12.22730933821555,46.0,267.5926696631031,10,-25.520000000000003,0,1,0
85.0,25,3.4929309077218154,63.0,293.59894986824696,18,-42.26,0,0,1
90.0,24,11.65729742898305,55.0,332.3794409841174,6,-17.9,0,0,0
95.0,19,17.075157360410746,36.0,297.54947338578376,6,-16.52,1,0,0
100.0,26,23.66726120439976,18.0,320.24438281021395,2,-9.56,1,1,0
105.0,24,20.87566455311322,10.0,260.0259293104933,8,-21.0,1,0,0
110.0,24,5.281996559396419,44.0,255.78659359118956,10,-25.68,0,1,0
115.0,24,12.673802041717247,84.0,322.4117632020675,12,-30.48,0,0,1
120.0,18,6.219505232505053,55.0,349.7839812979368,8,-20.700000000000003,0,0,0
125.0,26,22.583660098317655,12.0,377.42279360530466,4,-13.440000000000001,1,0,0
130.0,23,20.993563907545955,14.0,283.6328711616829,6,-16.88,1,1,0
135.0,25,21.91393362283671,25.0,204.98376483932705,5,-15.5,1,0,0
140.0,21,14.187189619845695,26.0,203.91980086879772,6,-16.72,0,1,0
145.0,23,3.282364320111645,46.0,216.03321848729362,17,-39.52,0,0,1
150.0,22,13.898513791283774,24.0,271.57074016300425,4,-12.88,0,0,0
155.0,18,23.084419507296495,17.0,261.7119139306593,4,-11.94,1,0,0
160.0,23,24.54312968462297,16.0,238.39353385927566,2,-8.920000000000002,1,1,0
165.0,20,20.854037620229438,7.0,176.46163860425568,6,-16.14,1,0,0
170.0,23,9.409452820020658,32.0,195.90448802974387,7,-19.240000000000002,0,1,0
175.0,21,14.238904491655525,66.0,231.09042926802084,11,-27.52,0,0,1
180.0,15,6.930013373529474,46.0,247.21408034631102,6,-15.92,0,0,0
185.0,23,22.163666821019046,23.0,285.50206459391916,4,-13.060000000000002,1,0,0
190.0,23,19.03036736581712,15.0,289.4699880195563,6,-16.900000000000002,1,1,0
195.0,25,21.449677548427594,28.0,221.32733481636137,4,-13.56,1,0,0
200.0,23,13.298506668337616,39.0,258.9930913171442,7,-19.38,0,1,0
205.0,24,4.252957555077389,57.0,264.91138262402205,17,-39.94,0,0,1
210.0,22,11.97200051699187,46.0,286.9576493648372,6,-17.32,0,0,0
215.0,19,20.566626981889208,26.0,313.3044162060489,5,-14.32,1,0,0
220.0,25,24.300656507459045,18.0,294.95491732080615,2,-9.36,1,1,0
225.0,22,20.441528903767743,12.0,226.69118734152403,8,-20.64,1,0,0
230.0,23,4.816760554127467,38.0,230.6671559798328,8,-21.360000000000003,0,1,0
235.0,23,12.33322853045722,73.0,296.06019166121496,11,-28.060000000000002,0,0,1
240.0,17,5.7914963797136005,42.0,319.1919350413289,7,-18.240000000000002,0,0,0
245.0,26,24.23500151420505,18.0,395.9133555452657,4,-13.559999999999999,1,0,0
250.0,23,21.14103387887442,12.0,299.6378325944687,5,-14.84,1,1,0
255.0,26,22.19288977472498,24.0,243.27844478389486,4,-13.68,1,0,0
260.0,22,12.263173094847449,37.0,252.38687459547958,10,-25.14,0,1,0
265.0,24,3.2324563646747286,70.0,271.78194466012474,18,-42.2,0,0,1
270.0,23,11.475450419511048,40.0,318.89369443657796,6,-17.400000000000002,0,0,0
275.0,19,19.135845452596243,23.0,288.93478333550166,4,-12.260000000000002,1,0,0
280.0,25,23.35035024408905,18.0,284.1070931399323,2,-9.36,1,1,0
285.0,23,21.26086830432173,10.0,232.06999080458988,7,-18.8,1,0,0
290.0,25,6.817641589803414,37.0,241.23421792562922,9,-23.74,0,1,0
295.0,23,12.977530750194184,75.0,283.1769517723993,11,-28.1,0,0,1
300.0,18,8.182148139347394,44.0,323.9288574031168,7,-18.48,0,0,0
305.0,26,23.826123559740438,27.0,381.93027074847777,5,-15.739999999999998,1,0,0
310.0,22,20.091618582821425,11.0,279.94520627945565,6,-16.62,1,1,0
315.0,25,23.43891002162151,15.0,218.90386709099894,3,-11.3,1,0,0
320.0,22,13.240803822804729,13.0,225.34050841517757,7,-18.66,0,1,0
325.0,24,4.507838018226384,52.0,250.56531930847322,18,-41.84,0,0,1
330.0,23,11.53128226348016,38.0,301.9259218057262,6,-17.36,0,0,0
335.0,19,22.275639214182707,18.0,321.66232198666177,4,-12.16,1,0,0
340.0,24,24.047226899184317,17.0,269.01317378427683,2,-9.14,1,1,0
345.0,23,23.058728879228717,9.0,234.15617178882275,6,-16.78,1,0,0
350.0,22,5.667219456381542,36.0,200.0935162776739,9,-23.119999999999997,0,1,0
355.0,23,16.1623671328618,67.0,274.6338338495558,11,-27.94,0,0,1
360.0,16,7.459189953514437,37.0,284.99879979021404,6,-15.940000000000001,0,0,0
365.0,23,24.71172395153577,22.0,273.89146051527393,4,-13.04,1,0,0
370.0,22,17.319425458800744,15.0,257.5205776573759,5,-14.700000000000001,1,1,0
375.0,25,24.600972105389413,24.0,217.45849888133876,3,-11.48,1,0,0
380.0,21,14.208532615866652,20.0,211.88184599286961,6,-16.6,0,1,0
385.0,22,4.2084258484497195,47.0,209.27374824396645,17,-39.339999999999996,0,0,1
390.0,21,12.399137712713173,50.0,250.69859400902382,7,-19.2,0,0,0
